"","time","Antarctic_mass","Antarctic_mass_uncertainty"
"184",2020.29,-2517,26.79
"185",2020.37,-2438.81,26.76
"186",2020.46,-2405.06,26.74
"187",2020.54,-2336.46,26.79
"188",2020.62,-2228.37,26.78
"189",2020.71,-2415.45,26.75
"190",2020.79,-2516.41,26.77
"191",2020.87,-2561.88,26.85
"192",2020.96,-2714.83,26.78
"193",2021.04,-3029.88,26.8
"194",2021.12,-2714.44,26.83
"195",2021.2,-2667.45,26.71
"196",2021.29,-2455.75,26.71
"197",2021.37,-2438.42,26.75
"198",2021.46,-2603.65,26.75
"199",2021.54,-2650.01,26.72
"200",2021.62,-2602.02,27.45
"201",2021.71,-2668.95,28.14
"202",2021.79,-2522.81,28.93
"203",2021.87,-2855.94,29.95
"204",2021.96,-2744.04,30.68
"205",2022.04,-2704.92,31.52
"206",2022.12,-2663.26,32.66
"207",2022.2,-2630.04,33.45
"208",2022.29,-2298.75,39.69
"209",2022.37,-2155.93,47.13
"210",2022.45,-2358.85,55.04
"211",2022.54,-2419.38,63.89
